SLR(1) SUCCESSFUL PARSE TRACE
==================================================
Step 1 | Stack: [0] | Lookahead: INT | Action: s14
Step 128 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 34, 59] | Lookahead: FLOAT | Action: s25
Step 129 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 34, 59, 25] | Lookahead: RPAREN | Action: r34
Step 130 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 34, 59, 28] | Lookahead: RPAREN | Action: r30
Step 131 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 34, 59, 28, 49] | Lookahead: RPAREN | Action: r26
Step 132 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 34, 59, 27] | Lookahead: RPAREN | Action: r25
Step 133 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 34, 59, 27, 48] | Lookahead: RPAREN | Action: r22
Step 134 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 34, 59, 80] | Lookahead: RPAREN | Action: r44
Step 135 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 32] | Lookahead: RPAREN | Action: r42
Step 136 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 36] | Lookahead: RPAREN | Action: r40
Step 137 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 36, 65] | Lookahead: RPAREN | Action: r38
Step 138 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 33] | Lookahead: RPAREN | Action: r37
Step 139 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 33, 55] | Lookahead: RPAREN | Action: r35
Step 140 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39] | Lookahead: RPAREN | Action: s69
Step 141 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69] | Lookahead: LBRACE | Action: s16
Step 142 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16] | Lookahead: PRINT | Action: s2
Step 143 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2] | Lookahead: LPAREN | Action: s18
Step 144 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2, 18] | Lookahead: ID | Action: s31
Step 145 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2, 18, 31] | Lookahead: RPAREN | Action: r32
Step 146 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2, 18, 28] | Lookahead: RPAREN | Action: r30
Step 147 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2, 18, 28, 49] | Lookahead: RPAREN | Action: r26
Step 148 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2, 18, 27] | Lookahead: RPAREN | Action: r25
Step 149 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2, 18, 27, 48] | Lookahead: RPAREN | Action: r22
Step 150 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2, 18, 26] | Lookahead: RPAREN | Action: s45
Step 151 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2, 18, 26, 45] | Lookahead: SEMI | Action: s72
Step 152 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 2, 18, 26, 45, 72] | Lookahead: RBRACE | Action: r17
Step 153 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 1] | Lookahead: RBRACE | Action: r8
Step 154 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 15] | Lookahead: RBRACE | Action: r3
Step 155 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 15, 22] | Lookahead: RBRACE | Action: r2
Step 156 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 23] | Lookahead: RBRACE | Action: s43
Step 157 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 16, 23, 43] | Lookahead: ELSE | Action: r15
Step 158 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 9] | Lookahead: ELSE | Action: r9
Step 159 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84] | Lookahead: ELSE | Action: s93
Step 160 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93] | Lookahead: LBRACE | Action: s16
Step 161 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16] | Lookahead: PRINT | Action: s2
Step 162 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2] | Lookahead: LPAREN | Action: s18
Step 163 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2, 18] | Lookahead: ID | Action: s31
Step 164 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2, 18, 31] | Lookahead: RPAREN | Action: r32
Step 165 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2, 18, 28] | Lookahead: RPAREN | Action: r30
Step 166 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2, 18, 28, 49] | Lookahead: RPAREN | Action: r26
Step 167 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2, 18, 27] | Lookahead: RPAREN | Action: r25
Step 168 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2, 18, 27, 48] | Lookahead: RPAREN | Action: r22
Step 169 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2, 18, 26] | Lookahead: RPAREN | Action: s45
Step 170 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2, 18, 26, 45] | Lookahead: SEMI | Action: s72
Step 171 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 2, 18, 26, 45, 72] | Lookahead: RBRACE | Action: r17
Step 172 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 1] | Lookahead: RBRACE | Action: r8
