SLR(1) SUCCESSFUL PARSE TRACE
==================================================
Step 1 | Stack: [0] | Lookahead: INT | Action: s10
Step 155 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 31, 47] | Lookahead: EQ | Action: r22
Step 156 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 64] | Lookahead: EQ | Action: s52
Step 157 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 64, 52] | Lookahead: INT | Action: r49
Step 158 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 64, 56] | Lookahead: INT | Action: s36
Step 159 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 64, 56, 36] | Lookahead: RPAREN | Action: r33
Step 160 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 64, 56, 35] | Lookahead: RPAREN | Action: r30
Step 161 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 64, 56, 35, 59] | Lookahead: RPAREN | Action: r26
Step 162 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 64, 56, 31] | Lookahead: RPAREN | Action: r25
Step 163 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 64, 56, 31, 47] | Lookahead: RPAREN | Action: r22
Step 164 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 64, 56, 77] | Lookahead: RPAREN | Action: r44
Step 165 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 30] | Lookahead: RPAREN | Action: r42
Step 166 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 39] | Lookahead: RPAREN | Action: r40
Step 167 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 39, 65] | Lookahead: RPAREN | Action: r38
